CallEnd,CallDuration,CallStart,Communication,Education,Job,LastContactMonth,Marital,Outcome,Age,Balance,CarInsurance,CarLoan,DaysPassed,Default,HHInsurance,LastContactDay,NoOfContacts,PrevAttempts
14:53:06,0:02:29,14:50:37,cellular,tertiary,self-employed,jun,single,success,25,42,1,0,94,0,1,5,1,1
13:30:09,0:01:08,13:29:01,cellular,tertiary,admin.,may,single,none,25,220,0,0,-1,0,0,26,1,0
12:18:54,0:14:03,12:04:51,cellular,secondary,services,may,single,failure,23,279,1,0,370,0,1,18,1,1
9:26:16,0:00:34,9:25:42,other,tertiary,entrepreneur,jun,divorced,none,48,275,0,1,-1,0,0,5,1,0
16:03:27,0:07:16,15:56:11,cellular,tertiary,management,aug,married,none,35,0,0,0,-1,0,0,26,2,0
13:04:13,0:05:16,12:58:57,cellular,tertiary,management,oct,single,failure,30,2344,0,0,92,0,1,20,2,3
14:03:36,0:01:33,14:02:03,cellular,tertiary,management,apr,married,none,35,8,1,0,-1,0,0,23,3,0
10:18:47,0:03:44,10:15:03,cellular,tertiary,management,jul,married,none,37,3737,1,0,-1,0,0,7,1,0
15:06:18,0:02:14,15:04:04,cellular,tertiary,technician,aug,single,none,35,147,0,0,-1,0,0,21,2,0
10:03:11,0:05:46,9:57:25,other,tertiary,entrepreneur,may,married,none,44,1631,0,0,-1,0,1,6,2,0
13:30:50,0:03:53,13:26:57,cellular,secondary,student,aug,single,success,30,1779,1,0,433,0,0,11,1,1
14:19:42,0:02:27,14:17:15,cellular,tertiary,management,may,single,failure,32,933,0,0,307,0,1,12,4,1
12:49:39,0:05:27,12:44:12,cellular,secondary,student,apr,single,none,19,394,1,0,-1,0,0,5,3,0
11:08:06,0:04:37,11:03:29,cellular,secondary,retired,feb,married,none,58,1227,0,0,-1,0,0,2,1,0
9:36:05,0:01:10,9:34:55,cellular,tertiary,management,jan,married,none,29,805,0,0,-1,0,0,28,1,0
15:25:01,0:10:23,15:14:38,telephone,tertiary,student,apr,single,none,25,722,1,0,-1,0,0,21,2,0
15:44:33,0:04:39,15:39:54,cellular,tertiary,management,feb,married,none,40,0,0,0,-1,0,1,2,1,0
15:08:21,0:05:13,15:03:08,cellular,secondary,technician,aug,single,none,31,46,0,0,-1,0,0,27,6,0
17:16:34,0:07:58,17:08:36,telephone,secondary,admin.,oct,divorced,none,47,555,1,1,-1,0,1,17,1,0
14:58:08,0:10:02,14:48:06,cellular,secondary,services,jan,divorced,other,59,1,1,0,253,0,1,28,1,5
17:47:30,0:00:47,17:46:43,telephone,secondary,blue-collar,nov,married,failure,42,3,0,0,190,0,1,20,1,1
14:06:09,0:07:50,13:58:19,cellular,tertiary,management,nov,divorced,none,59,17056,0,0,-1,0,1,20,2,0
17:06:45,0:02:00,17:04:45,cellular,secondary,technician,may,single,failure,38,1255,0,0,170,0,1,6,1,4
15:21:28,0:04:13,15:17:15,cellular,secondary,services,nov,married,failure,33,386,1,0,92,0,0,12,1,4
17:54:20,0:00:05,17:54:15,other,secondary,blue-collar,may,single,none,30,0,0,0,-1,0,1,5,2,0
10:21:34,0:09:39,10:11:55,cellular,tertiary,self-employed,aug,married,none,31,94,1,0,-1,0,0,22,2,0
17:56:47,0:00:57,17:55:50,cellular,secondary,admin.,apr,divorced,other,52,725,0,0,325,0,1,20,3,1
10:00:31,0:06:28,9:54:03,cellular,secondary,blue-collar,feb,married,success,47,1568,1,0,262,0,1,19,1,7
13:58:07,0:01:20,13:56:47,cellular,secondary,self-employed,jul,single,none,27,152,0,0,-1,0,0,30,3,0
10:59:58,0:03:56,10:56:02,other,secondary,technician,may,married,none,56,28,0,0,-1,0,1,15,1,0
15:09:03,0:02:45,15:06:18,cellular,tertiary,technician,nov,single,failure,31,438,0,0,100,0,1,20,1,2
16:55:10,0:04:17,16:50:53,cellular,primary,retired,mar,married,other,77,29340,1,0,91,0,0,15,1,2
17:46:23,0:00:05,17:46:18,other,secondary,management,may,single,none,29,-105,0,0,-1,0,1,27,3,0
